店舗ID,店名,カテゴリ,大分類,地域,住所,場所,lat,lng,訪問済,美味しさ,量,安さ,感想,備考,更新者
IZ001,"串八珍","焼き鳥","焼き鳥・串","五番町","東京都千代田区五番町3-1","五番町グランドビル 1F",35.690456,139.735913,"訪問済","4","4","4","炭火焼き鳥。夜は居酒屋づかい","","katyoid"
IZ002,"神鶏 市ヶ谷店","焼き鳥","焼き鳥・串","市谷田町","東京都新宿区市谷田町1-3-5","市谷田町ビル 1F",35.692747,139.735367,"訪問済","4","3","2","少し高くても行きたい","","katyoid"
IZ003,"河岸 番外地 市ヶ谷店","海鮮居酒屋","魚介・海鮮","五番町","東京都千代田区五番町2-23","NKIビル B1F",35.690810,139.735633,"訪問済","3","3","3","普段使いよさそう","","katyoid"
IZ004,"とり鉄 市ヶ谷店","焼き鳥","焼き鳥・串","九段北","東京都千代田区九段北4-2-11","第2星光ビル 1F",35.691654,139.737316,"訪問済","4","3","2","スペースは狭めかも","","katyoid"
IZ005,"灯火","焼き鳥","焼き鳥・串","六番町","東京都千代田区六番町4-11","朝日六番町マンション B104",35.68893,139.735381,"未訪問","","","","","","katyoid"
